date,region,year,month,sumOfLeads
2019-01-22,Kedah,2019,1,39213.580712016
2019-01-22,Kelantan,2019,1,48094.198044514
2019-01-22,Kuala Lumpur,2019,1,175485.58875705
2019-01-22,Labuan,2019,1,765.653702602
2019-01-22,Melaka,2019,1,31304.920444678
2019-01-22,N. Sembilan,2019,1,31568.979227888
2019-01-22,Pahang,2019,1,25629.501084022
2019-01-22,Penang,2019,1,66518.876265264
2019-01-22,Perak,2019,1,38149.598597404
2019-01-22,Perlis,2019,1,3353.28768417
2019-01-22,Putrajaya,2019,1,6498.253174144
2019-01-22,Sabah,2019,1,54325.686277328
2019-01-22,Sarawak,2019,1,20307.700353652
2019-01-22,Selangor,2019,1,308495.38333372
2019-01-22,Terengganu,2019,1,28893.831202622
2019-01-23,,2019,1,10
2019-01-23,Johor,2019,1,90345.976630504
2019-01-23,Kedah,2019,1,39109.666354774
2019-01-23,Kelantan,2019,1,47700.514175178
2019-01-23,Kuala Lumpur,2019,1,173033.861758024
2019-01-23,Labuan,2019,1,512.682867478
2019-01-23,Melaka,2019,1,30072.296899194
2019-01-23,N. Sembilan,2019,1,30970.31226728
2019-01-23,Pahang,2019,1,24539.956923052
2019-01-23,Penang,2019,1,68876.95841472
2019-01-23,Perak,2019,1,38734.828006784
2019-01-23,Perlis,2019,1,3856.232211528
2019-01-23,Putrajaya,2019,1,6232.75152996
2019-01-23,Sabah,2019,1,51734.14160156
2019-01-23,Sarawak,2019,1,19801.74372629
2019-01-23,Selangor,2019,1,298882.799989498
2019-01-23,Terengganu,2019,1,28307.167590058
2019-01-24,,2019,1,4
2019-01-24,Johor,2019,1,85702.050614274
2019-01-24,Kedah,2019,1,38220.24770867
2019-01-24,Kelantan,2019,1,46834.564827326
2019-01-24,Kuala Lumpur,2019,1,167748.2422591
2019-01-24,Labuan,2019,1,534.080876318
2019-01-24,Melaka,2019,1,27797.541518224
2019-01-24,N. Sembilan,2019,1,30839.780979038
2019-01-24,Pahang,2019,1,21987.228782078
2019-01-24,Penang,2019,1,67739.504033534
2019-01-24,Perak,2019,1,36804.60225603
2019-01-24,Perlis,2019,1,2899.775940432
2019-01-24,Putrajaya,2019,1,6266.23606913
2019-01-24,Sabah,2019,1,47433.247627472
2019-01-24,Sarawak,2019,1,18022.02649363
2019-01-24,Selangor,2019,1,294162.77109463
2019-01-24,Terengganu,2019,1,26926.204464642
2019-01-25,Johor,2019,1,84680.679196426
2019-01-25,Kedah,2019,1,38385.768517558
2019-01-25,Kelantan,2019,1,46591.170182688
2019-01-25,Kuala Lumpur,2019,1,152253.131484172
2019-01-25,Labuan,2019,1,335.320857328
2019-01-25,Melaka,2019,1,28277.590965344
2019-01-25,N. Sembilan,2019,1,28204.68565193
2019-01-25,Pahang,2019,1,22505.819459984
2019-01-25,Penang,2019,1,62848.762917088
2019-01-25,Perak,2019,1,35376.196800136
2019-01-25,Perlis,2019,1,3212.190561306
2019-01-25,Putrajaya,2019,1,5281.618618936
2019-01-25,Sabah,2019,1,48820.154577808
2019-01-25,Sarawak,2019,1,16934.876166132
2019-01-25,Selangor,2019,1,273352.543705088
2019-01-25,Terengganu,2019,1,26392.20407483
2019-01-26,,2019,1,2
2019-01-26,Johor,2019,1,77061.092119176
2019-01-26,Kedah,2019,1,34677.882554436
2019-01-26,Kelantan,2019,1,45171.64081681
2019-01-26,Kuala Lumpur,2019,1,144643.315469534
2019-01-26,Labuan,2019,1,295.269343444
2019-01-26,Melaka,2019,1,25224.785618044
2019-01-26,N. Sembilan,2019,1,24158.99619066
2019-01-26,Pahang,2019,1,22076.738926982
2019-01-26,Penang,2019,1,53013.305055388
2019-01-26,Perak,2019,1,35431.625394034
2019-01-26,Perlis,2019,1,2549.809668596
2019-01-26,Putrajaya,2019,1,4490.98601792
2019-01-26,Sabah,2019,1,45471.991917398
2019-01-26,Sarawak,2019,1,16678.575423054
2019-01-26,Selangor,2019,1,250413.419317094
2019-01-26,Terengganu,2019,1,23467.698048194
2019-01-27,,2019,1,8
2019-01-27,Johor,2019,1,81252.077913904
2019-01-27,Kedah,2019,1,36136.770868186
2019-01-27,Kelantan,2019,1,45388.361751838
2019-01-27,Kuala Lumpur,2019,1,140389.3875966
2019-01-27,Labuan,2019,1,413.30394657
2019-01-27,Melaka,2019,1,25693.006524906
2019-01-27,N. Sembilan,2019,1,25002.165285894
2019-01-27,Pahang,2019,1,22275.542779138
2019-01-27,Penang,2019,1,55234.641680686
2019-01-27,Perak,2019,1,34646.632374978
2019-01-27,Perlis,2019,1,3221.673695596
2019-01-27,Putrajaya,2019,1,4516.578631024
2019-01-27,Sabah,2019,1,41553.89141553
2019-01-27,Sarawak,2019,1,16050.024719922
2019-01-27,Selangor,2019,1,247361.31439349
2019-01-27,Terengganu,2019,1,26081.308961202
2019-01-28,,2019,1,8
2019-01-28,Johor,2019,1,93430.062481064
2019-01-28,Kedah,2019,1,41789.306693686
2019-01-28,Kelantan,2019,1,48695.024498118
2019-01-28,Kuala Lumpur,2019,1,172882.360220052
2019-01-28,Labuan,2019,1,501.59258676
2019-01-28,Melaka,2019,1,31292.88505833
2019-01-28,N. Sembilan,2019,1,30909.964563936
2019-01-28,Pahang,2019,1,25350.042242106
2019-01-28,Penang,2019,1,70729.394375876
2019-01-28,Perak,2019,1,40169.634543314
2019-01-28,Perlis,2019,1,3357.173213082
2019-01-28,Putrajaya,2019,1,5458.900031962
2019-01-28,Sabah,2019,1,52569.001645048
2019-01-28,Sarawak,2019,1,18731.655882896
2019-01-28,Selangor,2019,1,302476.374613308
2019-01-28,Terengganu,2019,1,29142.805247902
2019-01-29,Johor,2019,1,100039.12554465
2019-01-29,Kedah,2019,1,47210.589834896
2019-01-29,Kelantan,2019,1,53283.37075707
2019-01-29,Kuala Lumpur,2019,1,187955.924677614
2019-01-29,Labuan,2019,1,655.021420434
2019-01-29,Melaka,2019,1,30588.974038552
2019-01-29,N. Sembilan,2019,1,31967.758143602
2019-01-29,Pahang,2019,1,26451.76355414
2019-01-29,Penang,2019,1,81637.692906618
2019-01-29,Perak,2019,1,39683.309422564
2019-01-29,Perlis,2019,1,3431.206105574
2019-01-29,Putrajaya,2019,1,5892.210704184
2019-01-29,Sabah,2019,1,53366.139423202
2019-01-29,Sarawak,2019,1,22903.825894094
2019-01-29,Selangor,2019,1,331395.938966702
2019-01-29,Terengganu,2019,1,30983.45660003
2019-01-30,Johor,2019,1,91270.74645619
2019-01-30,Kedah,2019,1,41672.332307498
2019-01-30,Kelantan,2019,1,49909.547891264
2019-01-30,Kuala Lumpur,2019,1,165025.659196256
2019-01-30,Labuan,2019,1,491.47359575
2019-01-30,Melaka,2019,1,29256.5586595
2019-01-30,N. Sembilan,2019,1,30945.869076268
2019-01-30,Pahang,2019,1,23764.73450219
2019-01-30,Penang,2019,1,67409.013046354
2019-01-30,Perak,2019,1,39364.117543598
2019-01-30,Perlis,2019,1,3524.32935478
2019-01-30,Putrajaya,2019,1,6338.812962768
2019-01-30,Sabah,2019,1,50202.505022562
2019-01-30,Sarawak,2019,1,18199.608177252
2019-01-30,Selangor,2019,1,287876.597730636
2019-01-30,Terengganu,2019,1,30044.125536252
2019-01-31,,2019,1,2
2019-01-31,Johor,2019,1,87763.630312898
2019-01-31,Kedah,2019,1,40740.56724269
2019-01-31,Kelantan,2019,1,48879.013106624
2019-01-31,Kuala Lumpur,2019,1,163835.33804443
2019-01-31,Labuan,2019,1,408.01384922
2019-01-31,Melaka,2019,1,28940.70168887
2019-01-31,N. Sembilan,2019,1,29631.404299222
2019-01-31,Pahang,2019,1,25273.677659066
2019-01-31,Penang,2019,1,65798.831292298
2019-01-31,Perak,2019,1,40880.536436566
2019-01-31,Perlis,2019,1,2980.87078465
2019-01-31,Putrajaya,2019,1,5329.15835577
2019-01-31,Sabah,2019,1,51595.676036276
2019-01-31,Sarawak,2019,1,19020.908220024
2019-01-31,Selangor,2019,1,281856.21683712
2019-01-31,Terengganu,2019,1,28002.567889734
2019-02-01,Johor,2019,2,80277.102480478
2019-02-01,Kedah,2019,2,40753.895182746
2019-02-01,Kelantan,2019,2,50546.756045372
2019-02-01,Kuala Lumpur,2019,2,142401.18652658
2019-02-01,Labuan,2019,2,311.092822644
2019-02-01,Melaka,2019,2,27911.839298338
2019-02-01,N. Sembilan,2019,2,27744.890625854
2019-02-01,Pahang,2019,2,24247.83041749
2019-02-01,Penang,2019,2,60971.546977838
2019-02-01,Perak,2019,2,37787.569924678
2019-02-01,Perlis,2019,2,3016.104445228
2019-02-01,Putrajaya,2019,2,4376.363678626
2019-02-01,Sabah,2019,2,47114.687892172
2019-02-01,Sarawak,2019,2,17738.243878948
2019-02-01,Selangor,2019,2,247909.48352135
2019-02-01,Terengganu,2019,2,28626.498428794
2019-02-02,,2019,2,4
2019-02-02,Johor,2019,2,77368.316259036
2019-02-02,Kedah,2019,2,37351.587982106
2019-02-02,Kelantan,2019,2,54021.012339754
2019-02-02,Kuala Lumpur,2019,2,130991.443338716
2019-02-02,Labuan,2019,2,275.720895884
2019-02-02,Melaka,2019,2,27146.688508808
2019-02-02,N. Sembilan,2019,2,24742.16381156
2019-02-02,Pahang,2019,2,21864.872248418
2019-02-02,Penang,2019,2,50106.418128942
2019-02-02,Perak,2019,2,33814.291873142
2019-02-02,Perlis,2019,2,2884.2883511
2019-02-02,Putrajaya,2019,2,4394.221656948
2019-02-02,Sabah,2019,2,45913.363028998
2019-02-02,Sarawak,2019,2,15823.173659434
2019-02-02,Selangor,2019,2,230547.46746303
2019-02-02,Terengganu,2019,2,28648.661740614
2019-02-03,Johor,2019,2,75996.203263518
2019-02-03,Kedah,2019,2,38378.36288756
2019-02-03,Kelantan,2019,2,55717.086672716
2019-02-03,Kuala Lumpur,2019,2,121528.807260244
2019-02-03,Labuan,2019,2,290.17871815
2019-02-03,Melaka,2019,2,25697.300567132
2019-02-03,N. Sembilan,2019,2,25686.320064006
2019-02-03,Pahang,2019,2,23061.246274888
2019-02-03,Penang,2019,2,47937.341074036
2019-02-03,Perak,2019,2,33809.707117618
2019-02-03,Perlis,2019,2,3349.387287368
2019-02-03,Putrajaya,2019,2,4271.615150348
2019-02-03,Sabah,2019,2,43437.160848018
2019-02-03,Sarawak,2019,2,16002.749754368
2019-02-03,Selangor,2019,2,212716.770608954
2019-02-03,Terengganu,2019,2,29160.443601708
2019-02-04,,2019,2,4
2019-02-04,Johor,2019,2,74832.79922046
2019-02-04,Kedah,2019,2,39355.200707688
2019-02-04,Kelantan,2019,2,53794.901833886
2019-02-04,Kuala Lumpur,2019,2,128234.584245134
2019-02-04,Labuan,2019,2,454.99220482
2019-02-04,Melaka,2019,2,27920.14668857
2019-02-04,N. Sembilan,2019,2,29202.208727406
2019-02-04,Pahang,2019,2,23092.844797202
2019-02-04,Penang,2019,2,50801.468531882
2019-02-04,Perak,2019,2,35279.430674498
2019-02-04,Perlis,2019,2,3362.830036984
2019-02-04,Putrajaya,2019,2,4299.903859232
2019-02-04,Sabah,2019,2,45670.487889324
2019-02-04,Sarawak,2019,2,14504.707209916
