date,region,seller_type,year,month,sumOfLeads,ad_id
2019-01-10,Sabah,Pro,2019,1,17952.922561426,2319
2019-01-10,Sarawak,Private,2019,1,13893.035412138,1674
2019-01-10,Sarawak,Pro,2019,1,7824.49753153,1160
2019-01-10,Selangor,Private,2019,1,143072.238843894,15131
2019-01-10,Selangor,Pro,2019,1,178922.23230028,23142
2019-01-10,Terengganu,Private,2019,1,22831.695526452,2596
2019-01-10,Terengganu,Pro,2019,1,6383.099103938,889
2019-01-11,Johor,Private,2019,1,49143.082084796,5295
2019-01-11,Johor,Pro,2019,1,46817.120610116,6259
2019-01-11,Kedah,Private,2019,1,28169.955758924,3140
2019-01-11,Kedah,Pro,2019,1,13605.819188478,1713
2019-01-11,Kelantan,Private,2019,1,37505.885958294,3971
2019-01-11,Kelantan,Pro,2019,1,12272.880124498,1516
2019-01-11,Kuala Lumpur,Private,2019,1,82272.686120994,8187
2019-01-11,Kuala Lumpur,Pro,2019,1,96322.83714497,12558
2019-01-11,Labuan,Private,2019,1,381.696545982,46
2019-01-11,Labuan,Pro,2019,1,123.855826524,16
2019-01-11,Melaka,Private,2019,1,18922.726421958,1963
2019-01-11,Melaka,Pro,2019,1,12414.111620304,1472
2019-01-11,N. Sembilan,Private,2019,1,16470.551655278,1853
2019-01-11,N. Sembilan,Pro,2019,1,14010.633468,1778
2019-01-11,Pahang,Private,2019,1,20920.237929452,2188
2019-01-11,Pahang,Pro,2019,1,6185.45328804,830
2019-01-11,Penang,Private,2019,1,43488.069016862,4400
2019-01-11,Penang,Pro,2019,1,30498.89874045,4117
2019-01-11,Perak,Private,2019,1,27022.116307252,2889
2019-01-11,Perak,Pro,2019,1,13260.500020354,1707
2019-01-11,Perlis,Private,2019,1,2822.361140286,350
2019-01-11,Perlis,Pro,2019,1,567.53706458,93
2019-01-11,Putrajaya,Private,2019,1,3637.766692116,440
2019-01-11,Putrajaya,Pro,2019,1,2512.309701408,284
2019-01-11,Sabah,Private,2019,1,35764.34906225,3890
2019-01-11,Sabah,Pro,2019,1,18116.330960702,2234
2019-01-11,Sarawak,Private,2019,1,12545.803085398,1572
2019-01-11,Sarawak,Pro,2019,1,7138.995931034,1071
2019-01-11,Selangor,Private,2019,1,131550.473140188,14340
2019-01-11,Selangor,Pro,2019,1,162286.971736714,21541
2019-01-11,Terengganu,Private,2019,1,22082.926575616,2515
2019-01-11,Terengganu,Pro,2019,1,5754.358554446,793
2019-01-12,,Pro,2019,1,4,1
2019-01-12,Johor,Private,2019,1,42999.828863446,4880
2019-01-12,Johor,Pro,2019,1,43806.263145986,6088
2019-01-12,Kedah,Private,2019,1,26981.946332914,3031
2019-01-12,Kedah,Pro,2019,1,12467.820523842,1699
2019-01-12,Kelantan,Private,2019,1,37785.6691269,4125
2019-01-12,Kelantan,Pro,2019,1,11958.921788938,1534
2019-01-12,Kuala Lumpur,Private,2019,1,76401.924091304,7856
2019-01-12,Kuala Lumpur,Pro,2019,1,88232.892331394,11558
2019-01-12,Labuan,Private,2019,1,345.993587264,47
2019-01-12,Labuan,Pro,2019,1,107.784749166,14
