"Year,month",region,Leads_per_ad
2021-02,N. Sembilan,8.878723672113468
2021-02,Pahang,8.35808325021524
2021-02,Penang,8.365322683756975
2021-02,Perak,8.407324972326307
2021-02,Perlis,7.8241882118218395
2021-02,Putrajaya,7.895068061691393
2021-02,Sabah,8.012733267568942
2021-02,Sarawak,6.926153779796981
2021-02,Selangor,8.69805818069345
2021-02,Terengganu,8.38680586396495
2021-03,Johor,8.352670092592895
2021-03,Kedah,8.757338420962165
2021-03,Kelantan,9.011722611780353
2021-03,Kuala Lumpur,8.839907424392747
2021-03,Labuan,7.969163785322573
2021-03,Melaka,8.559164811599324
2021-03,N. Sembilan,9.025554313229911
2021-03,Pahang,9.039647229305247
2021-03,Penang,8.701249639147889
2021-03,Perak,8.67509449422186
2021-03,Perlis,7.911516413255872
2021-03,Putrajaya,8.11089295222939
2021-03,Sabah,8.251769585951394
2021-03,Sarawak,7.258453573933649
2021-03,Selangor,8.980722367061174
2021-03,Terengganu,8.827093041851064
